year,institution,streak,pct
2019,Total,1,100.0
2020,Total,1,100.0
2021,Total,2,5.378973105134474
2021,Total,1,94.62102689486552
2022,Total,1,83.53174603174604
2022,Total,3,3.571428571428571
2022,Total,2,12.896825396825399
2023,Total,1,90.71557971014492
2023,Total,4,0.36231884057971014
2023,Total,2,7.518115942028985
2023,Total,3,1.4039855072463767
2024,Total,1,67.6923076923077
2024,Total,2,27.00854700854701
2024,Total,3,3.9886039886039883
2024,Total,4,1.1396011396011396
2024,Total,5,0.17094017094017094
2025,Total,1,74.21249332621463
2025,Total,2,14.522156967431926
2025,Total,3,9.022957821676455
2025,Total,4,1.601708489054992
2025,Total,5,0.5339028296849974
2025,Total,5,0.10678056593699946
2019,CLT019,1,100.0
2020,CLT019,1,100.0
2021,CLT019,2,14.814814814814813
2021,CLT019,1,85.18518518518519
2022,CLT019,1,84.04761904761905
2022,CLT019,3,3.0952380952380953
2022,CLT019,2,12.857142857142856
2023,CLT019,1,78.54330708661418
2023,CLT019,4,0.5905511811023622
2023,CLT019,2,18.503937007874015
2023,CLT019,3,2.3622047244094486
2024,CLT019,1,72.70916334661355
2024,CLT019,3,6.374501992031872
2024,CLT019,2,19.322709163346612
2024,CLT019,4,1.394422310756972
2024,CLT019,5,0.199203187250996
2025,CLT019,1,76.01410934744268
2025,CLT019,2,15.520282186948853
2025,CLT019,4,2.6455026455026456
2025,CLT019,3,4.938271604938271
2025,CLT019,5,0.8818342151675485
2021,Moniques,1,100.0
2022,Moniques,1,90.72164948453609
2022,Moniques,2,9.278350515463918
2023,Moniques,1,84.68468468468468
2023,Moniques,2,14.414414414414415
2023,Moniques,3,0.9009009009009009
2024,Moniques,1,85.48387096774194
2024,Moniques,2,11.29032258064516
2024,Moniques,3,3.225806451612903
2025,Moniques,1,86.11111111111111
2025,Moniques,2,11.805555555555555
2025,Moniques,4,0.6944444444444444
2025,Moniques,3,1.3888888888888888
2021,Barcelona Crea,1,100.0
2023,Barcelona Crea,1,100.0
2024,Barcelona Crea,1,72.3916532905297
2024,Barcelona Crea,2,27.608346709470304
2025,Barcelona Crea,1,80.37928519328958
2025,Barcelona Crea,2,12.618526622902989
2025,Barcelona Crea,3,7.00218818380744
